"Scenario","Innovation","n","Reps","Parameter","PMM2_RMSE","CSS_RMSE","RMSE_Improvement","Var_Reduction","PMM2_Conv","CSS_Conv","Mean_g"
"SAR_1_1_12","lognormal",200,500,"ar1",0.0204460666515939,0.0261203455538913,21.7235981453241,38.79477722927,1,1,0.575425247678585
"SAR_1_1_12","lognormal",500,100,"ar1",0.0122440301517308,0.016131950121529,24.1007438066004,42.4427318805656,1,1,0.584623455245352
"SAR_1_1_12","lognormal",500,200,"ar1",0.0112410135529411,0.0154210349767053,27.1059720056304,46.7201438700202,1,1,0.582654956427353
"SAR_1_1_12","lognormal",500,500,"ar1",0.0106255006478015,0.0144742271426591,26.5902037941247,46.2915336183481,1,1,0.581857833927956
"SAR_1_1_12","exponential",100,100,"ar1",0.0258969302635123,0.0381714336423461,32.1562545799088,54.0370251874288,1,1,0.455646957407976
"SAR_1_1_12","exponential",100,200,"ar1",0.0273832986864586,0.0436509750875976,37.267612850557,58.6139722257774,1,1,0.452727428026399
"SAR_1_1_12","exponential",100,500,"ar1",0.0298326344962925,0.0441996613395021,32.5048346702366,54.0235376733199,1,1,0.451958852827237
"SAR_1_1_12","exponential",200,100,"ar1",0.0186777171733825,0.02405838144794,22.3650301920796,39.6619852190378,1,1,0.474236796756117
"SAR_1_1_12","exponential",200,200,"ar1",0.0179373178604196,0.0256118139432416,29.9646721619539,50.2018509603165,1,1,0.46876424600429
"SAR_1_1_12","exponential",200,500,"ar1",0.0166221584008237,0.0268369165858548,38.0623390632557,61.7345797579968,1,1,0.46064251076086
"SAR_1_1_12","exponential",500,100,"ar1",0.00970562216446096,0.0137257516630201,29.2889569712249,47.3682348246542,1,1,0.476086052531093
"SAR_1_1_12","exponential",500,200,"ar1",0.00940406310571729,0.0133627928847236,29.6250178623357,50.4926366954408,1,1,0.477065879376565
"SAR_1_1_12","exponential",500,500,"ar1",0.0100883809797277,0.0145648203064303,30.7346004449248,52.084265827401,1,1,0.477748083781728
"SMA_1_12","gaussian",100,100,"sma1",0.108234078261372,0.111903597958913,3.27917936909235,3.6448882638751,1,1,0.96759700295418
"SMA_1_12","gaussian",100,200,"sma1",0.127788949320891,0.122280465920136,-4.50479425254435,-3.36974834988232,1,1,0.973211942771227
"SMA_1_12","gaussian",100,500,"sma1",0.121821602386006,0.118012573158904,-3.22764695756028,-5.00387280495645,1,1,0.969603298023136
"SMA_1_12","gaussian",200,100,"sma1",0.0797408249530411,0.0669709058334418,-19.0678608280414,-37.8205162684685,1,1,0.987094813001444
"SMA_1_12","gaussian",200,200,"sma1",0.0797125843074995,0.0733522209362138,-8.67098949439663,-14.0561321780802,1,1,0.986775354828122
"SMA_1_12","gaussian",200,500,"sma1",0.0772838294612814,0.0661901343458999,-16.7603453671925,-32.8733664995017,1,1,0.98459303631628
"SMA_1_12","gaussian",500,100,"sma1",0.0449900929121324,0.0363445213313936,-23.7878262363326,-55.4351185469709,1,1,0.994801866294963
"SMA_1_12","gaussian",500,200,"sma1",0.0504909910664384,0.0409376516976568,-23.3363150366743,-51.510810987456,1,1,0.993957616908128
"SMA_1_12","gaussian",500,500,"sma1",0.0468889235790962,0.0367435461486925,-27.6113181600593,-62.3065019514376,1,1,0.99391768828337
"SMA_1_12","gamma",100,100,"sma1",0.0976588831717703,0.134452305232778,27.365408125437,47.3275251052044,1,1,0.633864362594703
"SMA_1_12","gamma",100,200,"sma1",0.0974420597484471,0.120631716760537,19.2235157012009,32.4824033811724,1,1,0.620704487743298
"SMA_1_12","gamma",100,500,"sma1",0.100772726983507,0.126577453883922,20.3865112692813,37.8439565446857,1,1,0.625168998371701
"SMA_1_12","gamma",200,100,"sma1",0.0587990808247837,0.0643688809919227,8.65293924845134,19.6514566584523,1,1,0.606005559277559
"SMA_1_12","gamma",200,200,"sma1",0.0646498563043598,0.0638303317002037,-1.28391092812302,-4.74877347147777,1,1,0.603427547949535
"SMA_1_12","gamma",200,500,"sma1",0.0644715405524526,0.0667963114246477,3.48038809720458,6.08545688272495,1,1,0.609056772084855
"SMA_1_12","gamma",500,100,"sma1",0.0402193157052948,0.0393225885266852,-2.2804378150262,-4.6866314091484,1,1,0.603183557745834
