"model","dist","n","M","gamma4_th","g3_theory","var_ols","var_pmm3","g3_emp","are_pmm3","bias_ols","bias_pmm3","mse_ols","mse_pmm3","mse_ratio","conv_rate","n_valid"
"arma_pmm3","Uniform",100,500,-1.2,0.299951385512883,0.02042656747411,0.00899779353575645,0.440494642438621,2.27017517049448,NA,NA,0.0210510815734094,0.00942270089212606,0.447611247871857,1,500
"arma_pmm3","Uniform",200,500,-1.2,0.299951385512883,0.00913720400644528,0.00387911950141039,0.424541194294677,2.35548402237238,NA,NA,0.00944919863140604,0.00404107251379239,0.427662987246473,1,500
"arma_pmm3","Uniform",500,500,-1.2,0.299951385512883,0.0038248239517715,0.00146921247293104,0.384125515698718,2.60331573699554,NA,NA,0.0038691050241698,0.0014731262122427,0.380740818106582,1,500
"arma_pmm3","Beta(2,2)",100,500,-0.864610928758442,0.642225007556607,0.0196618377826918,0.0165108647634485,0.839741683658021,1.190842397681,NA,NA,0.0206032826589852,0.0177221716877863,0.860162527550316,1,500
"arma_pmm3","Beta(2,2)",200,500,-0.864610928758442,0.642225007556607,0.00918363944589646,0.00738533585166379,0.804183994283856,1.24349652207456,NA,NA,0.00938508362365633,0.00761625515857743,0.811527682010171,1,500
"arma_pmm3","Beta(2,2)",500,500,-0.864610928758442,0.642225007556607,0.00343736155020067,0.00247095797541219,0.718853091048259,1.3911048202377,NA,NA,0.00343399144157921,0.00246609157401638,0.718141444430124,1,500
"arma_pmm3","TN(lambda=1.5)",100,500,-0.957194592123411,0.65898161933546,0.0183447445243341,0.0149087776421517,0.812700205357198,1.23046603582496,NA,NA,0.0189879221747,0.0157479391357613,0.829366109196731,1,500
"arma_pmm3","TN(lambda=1.5)",200,500,-0.957194592123411,0.65898161933546,0.00862196150001867,0.00709093128432232,0.822426693079871,1.21591384182235,NA,NA,0.00908766476175336,0.00744927640334539,0.819712940413104,1,500
"arma_pmm3","TN(lambda=1.5)",500,500,-0.957194592123411,0.65898161933546,0.0035401936699612,0.00267439437750725,0.755437308472609,1.32373658116233,NA,NA,0.00357288240137593,0.0027053266915306,0.757183245238851,1,500
"arima_pmm3","Uniform",100,500,-1.2,0.299951385512883,0.00683836598614524,0.00256038270690089,0.374414401347969,2.67083743680743,-0.0119804896867526,-0.00071843383404524,0.00696822138730734,0.00255577808866099,0.366776246994155,1,500
"arima_pmm3","Uniform",200,500,-1.2,0.299951385512883,0.00315057283105605,0.00101656842539848,0.322661458696619,3.09922357643665,-0.00821740537327931,0.000245648711999058,0.00321179743646273,0.00101459563183739,0.315896519599567,1,500
"arima_pmm3","Uniform",500,500,-1.2,0.299951385512883,0.00129131793618953,0.000422975639966387,0.32755344606652,3.05293689322664,-0.00126838804428875,0.000221897840140595,0.00129034410854805,0.000422178927337913,0.327183209921396,1,500
"arima_pmm3","Beta(2,2)",100,500,-0.864610928758442,0.642225007556607,0.00638382674285943,0.00467347925089057,0.732081154319868,1.36596877832354,-0.0177018977366867,-0.00700883040387179,0.00668441627285382,0.00471325599601902,0.705111082797176,1,500
"arima_pmm3","Beta(2,2)",200,500,-0.864610928758442,0.642225007556607,0.00312158465711109,0.00218605251953968,0.70030217330796,1.42795501444238,-0.00984714870616399,-0.0034540193958883,0.00321230782543817,0.00219361066448777,0.682876854800972,1,500
"arima_pmm3","Beta(2,2)",500,500,-0.864610928758442,0.642225007556607,0.00126354889348083,0.000834432650241626,0.660388097798831,1.51426108879482,-0.00278837829466627,-8.06688690955237e-05,0.00126879684920804,0.000832770292407583,0.656346437908783,1,500
"arima_pmm3","TN(lambda=1.5)",100,500,-0.957194592123411,0.65898161933546,0.00631721398769716,0.00460430682725754,0.728850856758133,1.37202280923139,-0.0196164156823548,-0.00938869885613924,0.00668938332394471,0.0046832458798143,0.700101287819847,1,500
"arima_pmm3","TN(lambda=1.5)",200,500,-0.957194592123411,0.65898161933546,0.00330167642500904,0.00214102931267948,0.648467335097387,1.54209772162205,-0.00872434846390191,-0.00164887682715387,0.00337118732827861,0.00213946604884525,0.63463279862816,1,500
"arima_pmm3","TN(lambda=1.5)",500,500,-0.957194592123411,0.65898161933546,0.00124414314134841,0.000836682922918156,0.672497315711883,1.48699478293298,-0.00632035318167923,-0.0044347674487677,0.00128160171940688,0.00085467671939697,0.666881689104251,1,500
